true_detections,missed_events,total_events,false_alarms,precision,recall,f1,false_alarms_per_hour,mean_lead_time_s,median_lead_time_s,slope_threshold,persistence_threshold,cooldown_s
268,548,816,623,0.30078563411896747,0.3284313725490196,0.31400117164616287,15.48210735586481,20.21268656716418,13.5,-1.0,2,60
219,597,816,384,0.36318407960199006,0.26838235294117646,0.3086680761099366,9.542743538767395,19.945205479452056,12.0,-2.0,2,60
169,647,816,227,0.42676767676767674,0.20710784313725492,0.2788778877887789,5.641153081510934,19.449704142011836,12.0,-3.0,2,60
203,613,816,473,0.30029585798816566,0.24877450980392157,0.272117962466488,11.754473161033797,20.458128078817733,12.0,-1.0,2,120
176,640,816,313,0.35991820040899797,0.21568627450980393,0.26973180076628356,7.778330019880715,19.625,12.0,-2.0,2,120
136,680,816,201,0.4035608308605341,0.16666666666666666,0.23590633130962704,4.995029821073558,19.625,12.5,-3.0,2,120
119,697,816,249,0.3233695652173913,0.14583333333333334,0.20101351351351354,6.187872763419483,18.436974789915965,12.0,-1.0,3,60
107,709,816,228,0.3194029850746269,0.13112745098039216,0.18592528236316244,5.66600397614314,18.05607476635514,12.0,-1.0,3,120
94,722,816,165,0.36293436293436293,0.11519607843137254,0.17488372093023255,4.100397614314115,18.095744680851062,11.0,-2.0,3,60
85,731,816,153,0.35714285714285715,0.10416666666666667,0.16129032258064516,3.802186878727634,17.258823529411764,11.0,-2.0,3,120
72,744,816,99,0.42105263157894735,0.08823529411764706,0.1458966565349544,2.460238568588469,17.52777777777778,11.0,-3.0,3,60
66,750,816,93,0.41509433962264153,0.08088235294117647,0.1353846153846154,2.3111332007952283,17.40909090909091,11.0,-3.0,3,120
37,779,816,76,0.3274336283185841,0.04534313725490196,0.07965554359526372,1.8886679920477136,16.513513513513512,9.0,-1.0,4,60
35,781,816,73,0.32407407407407407,0.0428921568627451,0.07575757575757575,1.8141153081510935,16.771428571428572,9.0,-1.0,4,120
28,788,816,53,0.345679012345679,0.03431372549019608,0.06243032329988853,1.3170974155069581,14.142857142857142,8.5,-2.0,4,60
27,789,816,52,0.34177215189873417,0.03308823529411765,0.06033519553072626,1.2922465208747513,14.481481481481481,9.0,-2.0,4,120
23,793,816,36,0.3898305084745763,0.028186274509803922,0.052571428571428575,0.8946322067594433,12.217391304347826,7.0,-3.0,4,60
23,793,816,36,0.3898305084745763,0.028186274509803922,0.052571428571428575,0.8946322067594433,12.217391304347826,7.0,-3.0,4,120
