mae,rmse,r2,pearson,spearman,model,subject,n
26.6099934062253,31.706856073507947,0.08966835936170625,0.3360126177852289,0.33728987330085153,ridge,1,1822
27.02175603246201,31.932215112517174,0.0766818602568432,0.32331387979903736,0.32758237560474646,random_forest,1,1822
26.639770542567064,32.02701745806529,0.07119131340160934,0.34229175304541903,0.34800749206088916,xgboost,1,1822
28.154235669151557,33.30908264014056,-0.1159456054894803,0.28242159959691193,0.24770413099285252,ridge,2,1829
28.59381578278043,32.715808839927845,-0.07654702741815989,0.3558088762306164,0.3366558554803633,random_forest,2,1829
28.679773543791356,33.19803284080425,-0.10851706366993041,0.33205607962297196,0.31022732418172294,xgboost,2,1829
31.29443285214848,35.47067155759523,-0.006255797373702077,0.37647997645227294,0.3935356072267607,ridge,3,1831
31.276316081708604,35.807142588190956,-0.02543681413578658,0.3480741493468892,0.34856605924351497,random_forest,3,1831
31.198254537821,36.105922171142666,-0.042620973358105774,0.3567322177158584,0.3623437890114874,xgboost,3,1831
27.5319787874147,33.25332075838711,-0.13331984864361535,0.22180178542189977,0.1825532110677325,ridge,4,1767
28.378662653618058,34.941611851457495,-0.2513198156079721,0.2452407540352558,0.2022700913842872,random_forest,4,1767
28.48481807700091,35.185766149732316,-0.2688680904433376,0.24972748316742602,0.20126077643016343,xgboost,4,1767
27.16864751830533,31.735183791029097,0.025121313457387773,0.22424739944321787,0.17827398997929403,ridge,5,1810
27.291634952136366,32.18872613052313,-0.0029426952725151168,0.2409909921736105,0.210564657293893,random_forest,5,1810
26.97386973334581,32.36090343783356,-0.013700860397480419,0.24414464651491863,0.20475308865981606,xgboost,5,1810
24.455837030292397,29.52266396303037,0.050398617174282734,0.256403901044964,0.21297239068468177,ridge,6,1817
24.937301872707593,30.226714918987195,0.004566730084006432,0.21963870779266526,0.2126280460499462,random_forest,6,1817
24.55168944737244,30.027316559383866,0.01765667873799337,0.2555196666375575,0.23315567477769852,xgboost,6,1817
35.71599461163742,41.11243840090868,-0.4197717681381863,0.3722248290689373,0.3553149877476524,ridge,7,1820
34.86400009401689,40.9461961890982,-0.4083130071925942,0.3878882171170889,0.36856198048355754,random_forest,7,1820
34.271663629662775,40.54159001479896,-0.3806182801119049,0.37389173666007125,0.35215444080415664,xgboost,7,1820
26.074037710630996,29.57511481128997,-1.2467074374079687,0.043489244884246096,0.049330051804418636,ridge,8,1806
23.047133097513985,26.581816882836076,-0.8149429086532627,0.07170568654564644,0.07687285522184567,random_forest,8,1806
23.000818550400545,27.194631953998666,-0.8995906163924872,0.06916538862936004,0.08078800382678127,xgboost,8,1806
26.259023261284202,28.065452071570515,-2.7664378680512693,0.07135298707303157,0.06367040260351246,ridge,9,1808
27.06318481211842,29.308588949887717,-3.107490270528225,0.07227287126516058,0.02430568259215352,random_forest,9,1808
25.720467957123244,28.556485644348705,-2.899386121898624,0.08614878043029257,0.06471294145949842,xgboost,9,1808
20.672445722879434,23.617368740340446,-0.6529312898017143,0.01776661952989127,0.07541955775099679,ridge,10,1808
25.437481498778684,27.55658108943572,-1.2503105104884922,0.053396768499810614,0.11251035968811428,random_forest,10,1808
23.932999743103338,26.681535245785994,-1.1096645754030812,0.04916393648898201,0.11547090231307824,xgboost,10,1808
