target,pooled_ridge_mae,pooled_ridge_rmse,pooled_ridge_r2,pooled_ridge_pearson,pooled_ridge_spearman,mean_subject_r2,median_subject_r2,std_subject_r2,mean_subject_pearson,baseline_global_mean_mae,baseline_global_mean_r2,baseline_subject_mean_mae,baseline_subject_mean_r2,baseline_ceiling_mae,baseline_ceiling_r2,ridge_beats_ceiling_mae
target_B_30,22.19709122561516,27.949623390622552,0.09916492424756707,0.325888733010212,0.31405298571243984,-0.44987767108722687,-0.08897633422854745,0.7871906290347745,0.22428564146947302,24.96044869219525,-0.0511031446571264,24.950126135688286,-0.05099397448732934,20.18878727025597,-0.4700172866640757,False
target_B_60,27.402751087801516,32.05239894224856,0.10147809690641973,0.3306112899569895,0.3000141095719809,-0.5176181324912559,-0.12463272706654782,0.8927590457624434,0.22022009603006015,30.895057804364967,-0.06204863161204943,30.88970901082788,-0.06200866919243775,29.588746788231173,-0.7657036753953357,True
target_A_60,26.626071657893434,32.402612009063844,0.09731371247521414,0.3218139858966436,0.3008596334373684,-0.43166504113552717,-0.06538968099982095,0.7546576475669786,0.21958125487308267,30.192464979454247,-0.04911217477082386,30.180259456457684,-0.04900045781556006,22.28778010817971,-0.42708117885411157,False
target_C_30,29.890241764254665,35.850947146524746,0.10009027290983119,0.3255953536710967,0.30379677573543346,-0.45386826030629884,-0.062266549256894566,0.7958200265537793,0.21895663460738124,33.92126878399477,-0.05148924383471076,33.90888729515861,-0.05139236887212273,26.199032471520248,-0.4805827573346866,False
target_B_90,29.505695334363853,33.744875630185525,0.09475889536342819,0.3216511530504512,0.2907882895271774,-0.5389773722012604,-0.171944292580677,0.906964532336573,0.21135819220864377,33.20664895096657,-0.06832928802069671,33.20432319707071,-0.06834068122027315,35.8984417231198,-1.0244713003683392,True
target_A_120,32.42046351772193,36.63392749241249,0.09814816605254928,0.3235717607616536,0.29885906175406657,-0.48681958927633406,-0.10788549348833354,0.8338696500986117,0.21117841353739877,36.80616646744574,-0.05954046526425705,36.801809225036834,-0.05952111317072717,32.64226183905508,-0.7160258772632597,True
target_C_60,35.69009185098981,39.94658765095491,0.09318804775467793,0.3156131300064141,0.291827087475174,-0.4996973976994113,-0.12421082297565322,0.8422527968801921,0.20260293333599738,40.497270764417436,-0.0616181079620981,40.49378330689828,-0.061629796680975124,37.5723016814295,-0.8022199612318794,True
target_A_180,34.54269859722652,38.32843534001455,0.08722942017388002,0.30821255872583564,0.28935239586972894,-0.5090116859070715,-0.18675218557747197,0.8321272775634413,0.1977928051677919,38.969342174631244,-0.06593176238853005,38.96937893601209,-0.06598264581074131,39.336602028676204,-0.9614199644769199,True
target_C_90,37.42538334433666,41.280831615683525,0.0786486690720909,0.2941390005915258,0.2820130628612396,-0.5162892445287446,-0.22638307596539786,0.8253349359197523,0.18482645635727807,42.20655321621557,-0.06772254077772599,42.20750666829402,-0.06780693687133943,44.83628487645688,-1.0868951025682856,True
target_D_causal,34.26894841752766,39.861060075247785,0.02722569112773021,0.22171133871589752,0.18909191312114282,-2.020079073151846,-0.2672532830469504,3.5583936360734465,0.10980457800244374,36.4561299734703,-0.07804399055099398,36.445168542336326,-0.07801210155182292,36.15557272693822,-0.8003222566480002,True
