epoch,n2_probability,prediction,prediction_text,actual_stage,actual_label,correct
100,0.89006877,1,N2,N2,1,True
101,0.9111185,1,N2,N2,1,True
102,0.88601017,1,N2,N2,1,True
103,0.922501,1,N2,N2,1,True
104,0.8566622,1,N2,N2,1,True
105,0.935301,1,N2,N2,1,True
106,0.77624285,1,N2,N2,1,True
107,0.9138608,1,N2,N2,1,True
108,0.92248964,1,N2,N2,1,True
109,0.89633095,1,N2,N2,1,True
110,0.87044364,1,N2,N2,1,True
111,0.93343246,1,N2,N2,1,True
112,0.91054374,1,N2,N2,1,True
113,0.81955904,1,N2,N2,1,True
114,0.6462494,1,N2,N2,1,True
115,0.82401186,1,N2,N2,1,True
116,0.94256085,1,N2,N2,1,True
117,0.91301507,1,N2,N2,1,True
118,0.92051935,1,N2,N2,1,True
119,0.9047069,1,N2,N2,1,True
120,0.80762255,1,N2,N2,1,True
121,0.7798476,1,N2,N2,1,True
122,0.8419081,1,N2,N2,1,True
123,0.80972683,1,N2,N2,1,True
124,0.89653146,1,N2,N2,1,True
125,0.8899799,1,N2,N2,1,True
126,0.8540874,1,N2,N2,1,True
127,0.80885535,1,N2,N2,1,True
128,0.89328986,1,N2,N2,1,True
129,0.87189615,1,N2,N2,1,True
130,0.8958299,1,N2,N2,1,True
131,0.27193838,0,Non-N2,N2,1,False
132,0.8159695,1,N2,N2,1,True
133,0.9204087,1,N2,N2,1,True
134,0.8690348,1,N2,N2,1,True
135,0.71007633,1,N2,N2,1,True
136,0.905874,1,N2,N2,1,True
137,0.90246093,1,N2,N2,1,True
138,0.89654046,1,N2,N2,1,True
139,0.7022561,1,N2,N2,1,True
140,0.9370691,1,N2,N2,1,True
141,0.6888054,1,N2,N2,1,True
142,0.9096866,1,N2,N2,1,True
143,0.06188946,0,Non-N2,W,0,True
144,0.028827082,0,Non-N2,W,0,True
145,0.031567626,0,Non-N2,W,0,True
146,0.024739077,0,Non-N2,W,0,True
147,0.9230357,1,N2,N2,1,True
148,0.6954711,1,N2,W,0,False
149,0.055701025,0,Non-N2,W,0,True
